Subject,Session,Trial,Trigger,Vividness
s001,session_1,192,35,5
s001,session_2,1,44,5
s001,session_2,2,34,5
s001,session_2,3,45,5
s001,session_2,4,35,5
s001,session_2,5,32,5
s001,session_2,6,31,5
s001,session_2,7,33,5
s001,session_2,8,22,5
s001,session_2,9,23,5
s001,session_2,10,41,5
s001,session_2,11,23,5
s001,session_2,12,35,5
s001,session_2,13,26,5
s001,session_2,14,22,5
s001,session_2,15,21,5
s001,session_2,16,25,5
s001,session_2,17,30,5
s001,session_2,18,21,5
s001,session_2,19,21,5
s001,session_2,20,32,5
s001,session_2,21,31,5
s001,session_2,22,37,5
s001,session_2,23,36,5
s001,session_2,24,39,5
s001,session_2,25,23,5
s001,session_2,26,47,5
s001,session_2,27,23,5
s001,session_2,28,29,5
s001,session_2,29,28,5
s001,session_2,30,26,5
s001,session_2,31,29,5
s001,session_2,32,38,5
s001,session_2,33,35,5
s001,session_2,34,34,5
s001,session_2,35,27,5
s001,session_2,36,40,5
s001,session_2,37,27,5
s001,session_2,38,24,5
s001,session_2,39,42,5
s001,session_2,40,22,5
s001,session_2,41,28,5
s001,session_2,42,24,5
s001,session_2,43,23,5
s001,session_2,44,23,5
s001,session_2,45,23,5
s001,session_2,46,46,5
s001,session_2,47,30,5
s001,session_2,48,33,5
s001,session_2,49,43,5
s001,session_2,50,30,5
s001,session_2,51,34,5
s001,session_2,52,28,5
s001,session_2,53,36,5
s001,session_2,54,26,5
s001,session_2,55,25,5
s001,session_2,56,29,5
s001,session_2,57,23,5
s001,session_2,58,29,5
s001,session_2,59,44,5
s001,session_2,60,25,5
s001,session_2,61,46,5
s001,session_2,62,33,5
s001,session_2,63,41,5
s001,session_2,64,23,5
s001,session_2,65,22,5
s001,session_2,66,30,4
s001,session_2,67,45,5
s001,session_2,68,31,5
s001,session_2,69,28,5
s001,session_2,70,31,5
s001,session_2,71,40,5
s001,session_2,72,23,5
s001,session_2,73,32,5
s001,session_2,74,35,5
s001,session_2,75,27,5
s001,session_2,76,39,5
s001,session_2,77,41,5
s001,session_2,78,22,5
s001,session_2,79,23,5
s001,session_2,80,21,5
s001,session_2,81,23,5
s001,session_2,82,35,5
s001,session_2,83,43,5
s001,session_2,84,32,5
s001,session_2,85,21,5
s001,session_2,86,42,5
s001,session_2,87,25,5
s001,session_2,88,28,5
s001,session_2,89,22,5
s001,session_2,90,33,5
s001,session_2,91,34,5
s001,session_2,92,37,5
s001,session_2,93,26,5
s001,session_2,94,24,5
s001,session_2,95,21,5
s001,session_2,96,27,5
s001,session_2,97,30,5
s001,session_2,98,24,5
s001,session_2,99,34,5
s001,session_2,100,38,5
s001,session_2,101,47,5
s001,session_2,102,23,5
s001,session_2,103,45,5
s001,session_2,104,24,5
s001,session_2,105,28,3
s001,session_2,106,29,5
s001,session_2,107,27,5
s001,session_2,108,43,5
s001,session_2,109,32,5
s001,session_2,110,30,5
s001,session_2,111,22,5
s001,session_2,112,42,5
s001,session_2,113,33,5
s001,session_2,114,23,5
s001,session_2,115,21,5
s001,session_2,116,32,5
s001,session_2,117,25,5
s001,session_2,118,44,5
s001,session_2,119,33,5
s001,session_2,120,29,5
s001,session_2,121,24,5
s001,session_2,122,38,5
s001,session_2,123,26,5
s001,session_2,124,31,5
s001,session_2,125,21,5
s001,session_2,126,27,5
s001,session_2,127,46,5
s001,session_2,128,47,5
s001,session_2,129,23,5
s001,session_2,130,23,5
s001,session_2,131,26,5
s001,session_2,132,22,5
s001,session_2,133,36,5
s001,session_2,134,21,5
s001,session_2,135,22,5
s001,session_2,136,23,5
s001,session_2,137,23,5
s001,session_2,138,21,5
s001,session_2,139,35,5
s001,session_2,140,23,5
s001,session_2,141,32,5
s001,session_2,142,41,5
s001,session_2,143,31,5
s001,session_2,144,24,5
s001,session_2,145,47,5
s001,session_2,146,33,5
s001,session_2,147,22,5
s001,session_2,148,39,5
s001,session_2,149,31,5
s001,session_2,150,29,5
s001,session_2,151,22,5
s001,session_2,152,33,5
s001,session_2,153,22,5
s001,session_2,154,32,5
s001,session_2,155,25,5
s001,session_2,156,43,5
s001,session_2,157,25,5
s001,session_2,158,34,5
s001,session_2,159,40,5
s001,session_2,160,30,5
s001,session_2,161,21,5
s001,session_2,162,29,4
s001,session_2,163,38,5
s001,session_2,164,23,5
s001,session_2,165,28,5
s001,session_2,166,44,5
s001,session_2,167,26,5
s001,session_2,168,42,5
s001,session_2,169,28,5
s001,session_2,170,31,5
s001,session_2,171,23,5
s001,session_2,172,23,5
s001,session_2,173,35,5
s001,session_2,174,40,5
s001,session_2,175,37,5
s001,session_2,176,30,5
s001,session_2,177,36,5
s001,session_2,178,46,5
s001,session_2,179,23,5
s001,session_2,180,27,5
s001,session_2,181,34,5
s001,session_2,182,26,5
s001,session_2,183,45,5
s001,session_2,184,39,5
s001,session_2,185,21,5
s001,session_2,186,34,5
s001,session_2,187,27,5
s001,session_2,188,24,5
s001,session_2,189,23,5
s001,session_2,190,25,5
s001,session_2,191,37,5
s001,session_2,192,35,5
s002,session_1,1,26,2
s002,session_1,2,40,3
s002,session_1,3,35,2
s002,session_1,4,25,1
s002,session_1,5,23,1
s002,session_1,6,46,3
s002,session_1,7,23,1
s002,session_1,8,34,2
s002,session_1,9,26,1
s002,session_1,10,23,1
s002,session_1,11,26,1
s002,session_1,12,31,1
s002,session_1,13,44,5
s002,session_1,14,33,2
s002,session_1,15,39,3
s002,session_1,16,23,2
s002,session_1,17,23,1
s002,session_1,18,43,5
s002,session_1,19,42,4
s002,session_1,20,30,1
s002,session_1,21,28,3
s002,session_1,22,28,5
s002,session_1,23,27,2
s002,session_1,24,34,2
s002,session_1,25,31,1
s002,session_1,26,36,3
s002,session_1,27,27,3
s002,session_1,28,22,3
s002,session_1,29,24,2
s002,session_1,30,24,2
s002,session_1,31,45,3
s002,session_1,32,29,4
s002,session_1,33,31,2
s002,session_1,34,35,2
s002,session_1,35,23,1
s002,session_1,36,41,3
s002,session_1,37,25,2
s002,session_1,38,37,4
s002,session_1,39,32,2
s002,session_1,40,29,3
s002,session_1,41,21,4
s002,session_1,42,38,3
s002,session_1,43,28,3
s002,session_1,44,23,1
s002,session_1,45,33,2
s002,session_1,46,22,3
s002,session_1,47,30,2
s002,session_1,48,22,2
s002,session_1,49,21,3
s002,session_1,50,34,2
s002,session_1,51,43,5
s002,session_1,52,23,1
s002,session_1,53,30,1
s002,session_1,54,40,3
s002,session_1,55,32,3
s002,session_1,56,38,2
s002,session_1,57,35,3
s002,session_1,58,33,2
s002,session_1,59,33,2
s002,session_1,60,31,1
s002,session_1,61,28,2
s002,session_1,62,23,1
s002,session_1,63,27,2
s002,session_1,64,30,1
s002,session_1,65,42,5
s002,session_1,66,21,2
s002,session_1,67,21,4
s002,session_1,68,23,1
s002,session_1,69,34,2
s002,session_1,70,24,1
s002,session_1,71,47,4
s002,session_1,72,22,3
s002,session_1,73,37,3
s002,session_1,74,26,1
s002,session_1,75,24,1
s002,session_1,76,29,3
s002,session_1,77,33,5
s002,session_1,78,23,1
s002,session_1,79,36,3
s002,session_1,80,46,2
s002,session_1,81,28,2
s002,session_1,82,44,5
s002,session_1,83,25,1
s002,session_1,84,39,2
s002,session_1,85,26,1
s002,session_1,86,22,2
s002,session_1,87,45,2
s002,session_1,88,22,4
s002,session_1,89,32,2
s002,session_1,90,23,1
s002,session_1,91,41,2
s002,session_1,92,25,1
s002,session_1,93,21,4
s002,session_1,94,23,1
s002,session_1,95,27,2
s002,session_1,96,35,2
s002,session_1,97,21,4
s002,session_1,98,32,1
s002,session_1,99,34,5
s002,session_1,100,31,1
s002,session_1,101,22,2
s002,session_1,102,29,2
s002,session_1,103,29,3
s002,session_1,104,21,1
s002,session_1,105,34,4
s002,session_1,106,24,3
s002,session_1,107,33,5
s002,session_1,108,28,3
s002,session_1,109,40,4
s002,session_1,110,44,4
s002,session_1,111,23,1
s002,session_1,112,35,2
s002,session_1,113,38,2
s002,session_1,114,45,5
s002,session_1,115,46,3
s002,session_1,116,32,2
s002,session_1,117,23,1
s002,session_1,118,37,3
s002,session_1,119,22,3
s002,session_1,120,36,2
s002,session_1,121,27,4
s002,session_1,122,21,2
s002,session_1,123,25,2
s002,session_1,124,25,2
s002,session_1,125,43,3
s002,session_1,126,26,4
s002,session_1,127,39,3
s002,session_1,128,23,1
s002,session_1,129,23,1
s002,session_1,130,30,1
s002,session_1,131,41,3
s002,session_1,132,24,2
s002,session_1,133,35,3
s002,session_1,134,29,3
s002,session_1,135,42,4
s002,session_1,136,32,1
s002,session_1,137,23,1
s002,session_1,138,22,3
s002,session_1,139,33,2
s002,session_1,140,23,1
s002,session_1,141,41,3
s002,session_1,142,40,4
s002,session_1,143,28,5
s002,session_1,144,23,1
s002,session_1,145,29,4
s002,session_1,146,31,2
s002,session_1,147,30,1
s002,session_1,148,27,5
s002,session_1,149,45,5
s002,session_1,150,27,4
s002,session_1,151,30,2
s002,session_1,152,22,4
s002,session_1,153,29,4
s002,session_1,154,22,4
s002,session_1,155,24,2
s002,session_1,156,39,3
s002,session_1,157,34,4
s002,session_1,158,34,2
s002,session_1,159,30,1
s002,session_1,160,42,3
s002,session_1,161,23,1
s002,session_1,162,23,1
s002,session_1,163,23,2
s002,session_1,164,25,2
s002,session_1,165,35,3
s002,session_1,166,24,2
s002,session_1,167,32,2
s002,session_1,168,43,4
s002,session_1,169,36,3
s002,session_1,170,22,3
s002,session_1,171,28,3
s002,session_1,172,31,2
s002,session_1,173,23,1
s002,session_1,174,44,4
s002,session_1,175,37,3
s002,session_1,176,33,2
s002,session_1,177,35,3
s002,session_1,178,46,3
s002,session_1,179,26,2
s002,session_1,180,21,3
s002,session_1,181,47,5
s002,session_1,182,21,3
s002,session_1,183,21,4
s002,session_1,184,47,3
s002,session_1,185,27,3
s002,session_1,186,38,4
s002,session_1,187,26,2
s002,session_1,188,25,1
s002,session_1,189,32,2
s002,session_1,190,47,4
s002,session_1,191,21,4
s002,session_1,192,31,4
s002,session_2,1,28,2
s002,session_2,2,22,2
s002,session_2,3,30,2
s002,session_2,4,25,1
s002,session_2,5,23,1
s002,session_2,6,36,3
s002,session_2,7,24,2
s002,session_2,8,21,3
s002,session_2,9,33,2
s002,session_2,10,27,2
s002,session_2,11,23,1
s002,session_2,12,41,4
s002,session_2,13,23,2
s002,session_2,14,29,1
s002,session_2,15,31,2
s002,session_2,16,42,5
s002,session_2,17,37,4
s002,session_2,18,43,4
s002,session_2,19,33,2
s002,session_2,20,22,1
s002,session_2,21,34,2
s002,session_2,22,24,1
s002,session_2,23,26,1
s002,session_2,24,45,4
s002,session_2,25,25,1
s002,session_2,26,38,4
s002,session_2,27,21,3
s002,session_2,28,28,2
s002,session_2,29,35,2
s002,session_2,30,22,2
s002,session_2,31,32,1
s002,session_2,32,23,1
s002,session_2,33,35,2
s002,session_2,34,23,1
s002,session_2,35,29,2
s002,session_2,36,23,1
s002,session_2,37,23,1
s002,session_2,38,31,1
s002,session_2,39,40,4
s002,session_2,40,24,1
s002,session_2,41,44,5
s002,session_2,42,21,4
s002,session_2,43,30,2
s002,session_2,44,44,3
s002,session_2,45,26,1
s002,session_2,46,35,2
s002,session_2,47,34,2
s002,session_2,48,39,3
s002,session_2,49,47,4
s002,session_2,50,30,2
s002,session_2,51,26,2
s002,session_2,52,23,1
s002,session_2,53,23,1
s002,session_2,54,24,2
s002,session_2,55,37,2
s002,session_2,56,21,4
s002,session_2,57,38,4
s002,session_2,58,21,3
s002,session_2,59,36,4
s002,session_2,60,33,3
s002,session_2,61,35,3
s002,session_2,62,41,3
s002,session_2,63,32,2
s002,session_2,64,37,4
s002,session_2,65,45,4
s002,session_2,66,29,2
s002,session_2,67,42,5
s002,session_2,68,46,4
s002,session_2,69,34,3
s002,session_2,70,39,3
s002,session_2,71,28,3
s002,session_2,72,27,3
s002,session_2,73,34,3
s002,session_2,74,26,2
s002,session_2,75,22,3
s002,session_2,76,25,2
s002,session_2,77,41,1
s002,session_2,78,32,2
s002,session_2,79,23,1
s002,session_2,80,23,1
s002,session_2,81,29,2
s002,session_2,82,35,2
s002,session_2,83,44,5
s002,session_2,84,29,3
s002,session_2,85,25,2
s002,session_2,86,21,3
s002,session_2,87,31,2
s002,session_2,88,35,2
s002,session_2,89,28,2
s002,session_2,90,30,1
s002,session_2,91,33,2
s002,session_2,92,22,3
s002,session_2,93,47,4
s002,session_2,94,23,1
s002,session_2,95,23,1
s002,session_2,96,43,5
s002,session_2,97,22,3
s002,session_2,98,27,2
s002,session_2,99,30,1
s002,session_2,100,24,2
s002,session_2,101,40,4
s002,session_2,102,31,2
s002,session_2,103,22,1
s002,session_2,104,33,3
s002,session_2,105,31,2
s002,session_2,106,26,1
s002,session_2,107,23,1
s002,session_2,108,24,1
s002,session_2,109,27,2
s002,session_2,110,23,1
s002,session_2,111,27,3
s002,session_2,112,23,1
s002,session_2,113,45,4
s002,session_2,114,23,1
s002,session_2,115,25,1
s002,session_2,116,28,3
s002,session_2,117,47,3
s002,session_2,118,30,1
s002,session_2,119,46,3
s002,session_2,120,39,2
s002,session_2,121,26,1
s002,session_2,122,32,1
s002,session_2,123,22,2
s002,session_2,124,40,2
s002,session_2,125,34,2
s002,session_2,126,22,1
s002,session_2,127,43,4
s002,session_2,128,23,1
s002,session_2,129,32,2
s002,session_2,130,36,3
s002,session_2,131,21,2
s002,session_2,132,31,2
s002,session_2,133,21,2
s002,session_2,134,28,3
s002,session_2,135,33,3
s002,session_2,136,23,1
s002,session_2,137,34,2
s002,session_2,138,27,3
s002,session_2,139,26,3
s002,session_2,140,23,1
s002,session_2,141,42,4
s002,session_2,142,22,2
s002,session_2,143,38,3
s002,session_2,144,41,2
s002,session_2,145,21,3
s002,session_2,146,47,2
s002,session_2,147,22,2
s002,session_2,148,25,1
s002,session_2,149,29,2
s002,session_2,150,44,4
s002,session_2,151,21,3
s002,session_2,152,43,4
s002,session_2,153,28,2
s002,session_2,154,27,2
s002,session_2,155,36,2
s002,session_2,156,35,3
s002,session_2,157,31,1
s002,session_2,158,26,1
s002,session_2,159,38,3
s002,session_2,160,23,1
s002,session_2,161,40,2
s002,session_2,162,23,1
s002,session_2,163,23,1
s002,session_2,164,45,3
s002,session_2,165,24,1
s002,session_2,166,34,2
s002,session_2,167,33,2
s002,session_2,168,39,3
s002,session_2,169,33,2
s002,session_2,170,21,2
s002,session_2,171,31,2
s002,session_2,172,21,3
s002,session_2,173,34,3
s002,session_2,174,35,2
s002,session_2,175,25,1
s002,session_2,176,22,2
s002,session_2,177,30,1
s002,session_2,178,46,3
s002,session_2,179,37,3
s002,session_2,180,30,1
s002,session_2,181,42,4
s002,session_2,182,32,1
s002,session_2,183,29,2
s002,session_2,184,25,1
s002,session_2,185,23,1
s002,session_2,186,28,2
s002,session_2,187,32,1
s002,session_2,188,24,1
s002,session_2,189,46,3
s002,session_2,190,32,2
s002,session_2,191,27,2
s002,session_2,192,29,4
s003,session_1,1,22,5
s003,session_1,2,37,4
s003,session_1,3,29,4
s003,session_1,4,23,2
s003,session_1,5,27,5
s003,session_1,6,28,1
s003,session_1,7,23,3
s003,session_1,8,41,3
s003,session_1,9,34,3
s003,session_1,10,36,3
s003,session_1,11,30,4
s003,session_1,12,42,3
s003,session_1,13,31,1
s003,session_1,14,25,5
s003,session_1,15,31,4
s003,session_1,16,32,3
s003,session_1,17,30,3
s003,session_1,18,27,4
s003,session_1,19,46,3
s003,session_1,20,24,4
s003,session_1,21,34,2
s003,session_1,22,36,2
s003,session_1,23,25,3
s003,session_1,24,33,3
s003,session_1,25,45,3
s003,session_1,26,21,3
s003,session_1,27,40,1
s003,session_1,28,44,4
s003,session_1,29,33,1
s003,session_1,30,35,4
s003,session_1,31,38,4
s003,session_1,32,22,1
s003,session_1,33,44,3
s003,session_1,34,47,1
s003,session_1,35,30,5
s003,session_1,36,26,3
s003,session_1,37,23,4
s003,session_1,38,23,1
s003,session_1,39,28,5
s003,session_1,40,32,4
s003,session_1,41,22,2
s003,session_1,42,39,3
s003,session_1,43,43,1
s003,session_1,44,22,4
s003,session_1,45,24,2
s003,session_1,46,26,5
s003,session_1,47,23,2
s003,session_1,48,29,3
s003,session_1,49,21,3
s003,session_1,50,47,4
s003,session_1,51,46,3
s003,session_1,52,34,3
s003,session_1,53,42,2
s003,session_1,54,21,2
s003,session_1,55,30,5
s003,session_1,56,34,2
s003,session_1,57,23,3
s003,session_1,58,26,3
s003,session_1,59,21,1
s003,session_1,60,25,1
s003,session_1,61,35,2
s003,session_1,62,32,1
s003,session_1,63,28,1
s003,session_1,64,35,1
s003,session_1,65,40,1
s003,session_1,66,26,5
s003,session_1,67,22,3
s003,session_1,68,23,2
s003,session_1,69,24,1
s003,session_1,70,23,1
s003,session_1,71,23,2
s003,session_1,72,26,3
s003,session_1,73,30,1
s003,session_1,74,29,1
s003,session_1,75,31,1
s003,session_1,76,27,4
s003,session_1,77,23,4
s003,session_1,78,33,2
s003,session_1,79,28,2
s003,session_1,80,38,3
s003,session_1,81,39,3
s003,session_1,82,33,3
s003,session_1,83,36,1
s003,session_1,84,25,4
s003,session_1,85,37,3
s003,session_1,86,31,4
s003,session_1,87,22,3
s003,session_1,88,35,5
s003,session_1,89,23,4
s003,session_1,90,32,3
s003,session_1,91,22,3
s003,session_1,92,27,4
s003,session_1,93,41,1
s003,session_1,94,21,3
s003,session_1,95,43,1
s003,session_1,96,29,2
s003,session_1,97,45,1
s003,session_1,98,24,4
s003,session_1,99,22,3
s003,session_1,100,23,1
s003,session_1,101,30,1
s003,session_1,102,44,1
s003,session_1,103,33,5
s003,session_1,104,37,3
s003,session_1,105,27,5
s003,session_1,106,46,4
s003,session_1,107,27,5
s003,session_1,108,34,4
s003,session_1,109,26,5
s003,session_1,110,43,4
s003,session_1,111,31,5
s003,session_1,112,47,3
s003,session_1,113,34,5
s003,session_1,114,32,5
s003,session_1,115,25,4
s003,session_1,116,35,4
s003,session_1,117,29,5
s003,session_1,118,45,4
s003,session_1,119,24,4
s003,session_1,120,23,5
s003,session_1,121,33,4
s003,session_1,122,22,3
s003,session_1,123,23,4
s003,session_1,124,23,4
s003,session_1,125,38,4
s003,session_1,126,28,4
s003,session_1,127,23,3
s003,session_1,128,21,2
s003,session_1,129,32,3
s003,session_1,130,29,5
s003,session_1,131,42,4
s003,session_1,132,28,5
s003,session_1,133,31,3
s003,session_1,134,25,5
s003,session_1,135,24,4
s003,session_1,136,45,3
s003,session_1,137,41,2
s003,session_1,138,35,4
s003,session_1,139,26,5
s003,session_1,140,23,4
s003,session_1,141,40,5
s003,session_1,142,27,4
s003,session_1,143,43,4
s003,session_1,144,29,3
s003,session_1,145,23,2
s003,session_1,146,22,3
s003,session_1,147,21,4
s003,session_1,148,21,3
s003,session_1,149,38,4
s003,session_1,150,34,2
s003,session_1,151,35,4
s003,session_1,152,31,3
s003,session_1,153,30,4
s003,session_1,154,28,2
s003,session_1,155,31,4
s003,session_1,156,42,4
s003,session_1,157,39,3
s003,session_1,158,33,5
s003,session_1,159,40,3
s003,session_1,160,25,3
s003,session_1,161,41,3
s003,session_1,162,46,4
s003,session_1,163,22,2
s003,session_1,164,27,5
s003,session_1,165,25,5
s003,session_1,166,28,3
s003,session_1,167,24,3
s003,session_1,168,23,3
s003,session_1,169,26,1
s003,session_1,170,39,3
s003,session_1,171,44,4
s003,session_1,172,29,4
s003,session_1,173,22,4
s003,session_1,174,21,4
s003,session_1,175,23,5
s003,session_1,176,34,4
s003,session_1,177,33,4
s003,session_1,178,30,5
s003,session_1,179,37,4
s003,session_1,180,32,3
s003,session_1,181,23,3
s003,session_1,182,36,4
s003,session_1,183,32,4
s003,session_1,184,23,3
s003,session_1,185,23,1
s003,session_1,186,24,5
s003,session_1,187,47,4
s003,session_1,188,21,3
s003,session_1,189,35,4
s003,session_1,190,23,4
s003,session_1,191,21,4
s003,session_1,192,21,3
s003,session_2,1,38,4
s003,session_2,2,26,4
s003,session_2,3,30,3
s003,session_2,4,36,3
s003,session_2,5,31,4
s003,session_2,6,33,5
s003,session_2,7,41,3
s003,session_2,8,23,3
s003,session_2,9,37,3
s003,session_2,10,30,5
s003,session_2,11,41,3
s003,session_2,12,29,4
s003,session_2,13,25,3
s003,session_2,14,35,4
s003,session_2,15,34,3
s003,session_2,16,22,3
s003,session_2,17,33,3
s003,session_2,18,46,3
s003,session_2,19,40,2
s003,session_2,20,23,4
s003,session_2,21,21,3
s003,session_2,22,26,5
s003,session_2,23,44,3
s003,session_2,24,31,5
s003,session_2,25,27,3
s003,session_2,26,23,4
s003,session_2,27,32,5
s003,session_2,28,45,3
s003,session_2,29,34,3
s003,session_2,30,23,3
s003,session_2,31,24,4
s003,session_2,32,29,4
s003,session_2,33,46,3
s003,session_2,34,24,4
s003,session_2,35,23,4
s003,session_2,36,39,3
s003,session_2,37,42,3
s003,session_2,38,43,3
s003,session_2,39,28,4
s003,session_2,40,28,3
s003,session_2,41,23,1
s003,session_2,42,22,3
s003,session_2,43,32,4
s003,session_2,44,31,3
s003,session_2,45,27,3
s003,session_2,46,21,4
s003,session_2,47,21,3
s003,session_2,48,26,3
s003,session_2,49,21,4
s003,session_2,50,24,4
s003,session_2,51,35,3
s003,session_2,52,21,3
s003,session_2,53,40,2
s003,session_2,54,27,4
s003,session_2,55,39,3
s003,session_2,56,21,3
s003,session_2,57,22,3
s003,session_2,58,33,4
s003,session_2,59,41,3
s003,session_2,60,34,3
s003,session_2,61,46,3
s003,session_2,62,23,5
s003,session_2,63,27,3
s003,session_2,64,26,5
s003,session_2,65,36,3
s003,session_2,66,33,5
s003,session_2,67,23,1
s003,session_2,68,37,3
s003,session_2,69,23,4
s003,session_2,70,23,5
s003,session_2,71,23,5
s003,session_2,72,31,4
s003,session_2,73,44,3
s003,session_2,74,23,5
s003,session_2,75,25,5
s003,session_2,76,42,3
s003,session_2,77,22,4
s003,session_2,78,22,3
s003,session_2,79,28,3
s003,session_2,80,30,4
s003,session_2,81,30,1
s003,session_2,82,38,4
s003,session_2,83,43,2
s003,session_2,84,25,5
s003,session_2,85,31,3
s003,session_2,86,28,3
s003,session_2,87,39,3
s003,session_2,88,25,5
s003,session_2,89,29,5
s003,session_2,90,45,2
s003,session_2,91,33,5
s003,session_2,92,32,2
s003,session_2,93,29,3
s003,session_2,94,35,1
s003,session_2,95,32,4
s003,session_2,96,22,3
s003,session_2,97,47,3
s003,session_2,98,34,4
s003,session_2,99,32,4
s003,session_2,100,26,3
s003,session_2,101,24,4
s003,session_2,102,34,4
s003,session_2,103,28,5
s003,session_2,104,29,5
s003,session_2,105,30,4
s003,session_2,106,30,4
s003,session_2,107,31,4
s003,session_2,108,24,4
s003,session_2,109,35,4
s003,session_2,110,42,4
s003,session_2,111,21,4
s003,session_2,112,45,4
s003,session_2,113,40,4
